Number,Lat,Long
1,27.6841619,-98.19934067
2,27.67880241,-98.20455871
3,27.67633311,-98.211107
4,27.66979589,-98.19917294
5,27.66619621,-98.20960819
6,27.65620337,-98.20976824
7,27.65181089,-98.22267656
8,27.65494037,-98.20058889
9,27.65165037,-98.20694415
10,27.64768284,-98.21142163
