"File_Name","Study_Area","SiteID","Site_Number","Recording_Time","Date_Time","Date","Time","Detection_Start","Detection_End","Scientific_name","Common_name","Confidence"
"LC_ARU1_20240606_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-06 06:36:22,2024-06-06,"06:36:22",682,685,"Colinus virginianus","Northern Bobwhite",0.8296
"LC_ARU1_20240606_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-06 06:44:20,2024-06-06,"06:44:20",1160,1163,"Colinus virginianus","Northern Bobwhite",0.8765
"LC_ARU1_20240607_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-07 06:49:30,2024-06-07,"06:49:30",1470,1473,"Colinus virginianus","Northern Bobwhite",0.8286
"LC_ARU1_20240609_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-09 06:25:58,2024-06-09,"06:25:58",58,61,"Colinus virginianus","Northern Bobwhite",0.8663
"LC_ARU1_20240609_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-09 06:41:20,2024-06-09,"06:41:20",980,983,"Colinus virginianus","Northern Bobwhite",0.8012
"LC_ARU1_20240609_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-09 06:47:14,2024-06-09,"06:47:14",1334,1337,"Colinus virginianus","Northern Bobwhite",0.8173
"LC_ARU1_20240609_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-09 06:48:22,2024-06-09,"06:48:22",1402,1405,"Colinus virginianus","Northern Bobwhite",0.804
"LC_ARU1_20240611_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-11 06:30:34,2024-06-11,"06:30:34",334,337,"Colinus virginianus","Northern Bobwhite",0.8122
"LC_ARU1_20240611_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-11 06:38:04,2024-06-11,"06:38:04",784,787,"Colinus virginianus","Northern Bobwhite",0.8052
"LC_ARU1_20240622_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-22 06:38:00,2024-06-22,"06:38:00",780,783,"Colinus virginianus","Northern Bobwhite",0.8015
"LC_ARU1_20240625_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-25 06:29:44,2024-06-25,"06:29:44",284,287,"Colinus virginianus","Northern Bobwhite",0.8158
"LC_ARU1_20240626_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-26 06:34:58,2024-06-26,"06:34:58",598,601,"Colinus virginianus","Northern Bobwhite",0.8796
