"FileName","NB_whistle_mean_time","nbVolume","Study_Area","SiteID","Site_Number","Recording_Time","Date_Time","Date","Time"
"LC_ARU1_20240625_062500.wav",1445.23,-5.88,"LC","ARU1",1,"0625",2024-06-25 06:49:05.23,2024-06-25,"06:49:05"
"LC_ARU1_20240625_062500.wav",1484.24,-5.68,"LC","ARU1",1,"0625",2024-06-25 06:49:44.24,2024-06-25,"06:49:44"
"LC_ARU1_20240625_062500.wav",1588.27,-5.71,"LC","ARU1",1,"0625",2024-06-25 06:51:28.27,2024-06-25,"06:51:28"
"LC_ARU1_20240625_062500.wav",1616.88,-5.86,"LC","ARU1",1,"0625",2024-06-25 06:51:56.88,2024-06-25,"06:51:56"
"LC_ARU1_20240625_062500.wav",1650.87,-5.83,"LC","ARU1",1,"0625",2024-06-25 06:52:30.87,2024-06-25,"06:52:30"
"LC_ARU1_20240625_062500.wav",1787.59,-5.94,"LC","ARU1",1,"0625",2024-06-25 06:54:47.59,2024-06-25,"06:54:47"
"LC_ARU1_20240629_062500.wav",324.92,-6.12,"LC","ARU1",1,"0625",2024-06-29 06:30:24.92,2024-06-29,"06:30:24"
"LC_ARU1_20240629_062500.wav",584.24,-5.27,"LC","ARU1",1,"0625",2024-06-29 06:34:44.24,2024-06-29,"06:34:44"
"LC_ARU1_20240703_062500.wav",1578.61,-4.77,"LC","ARU1",1,"0625",2024-07-03 06:51:18.61,2024-07-03,"06:51:18"
"LC_ARU1_20240703_062500.wav",1635.27,-4.75,"LC","ARU1",1,"0625",2024-07-03 06:52:15.27,2024-07-03,"06:52:15"
"LC_ARU1_20240703_062500.wav",1657.18,-4.63,"LC","ARU1",1,"0625",2024-07-03 06:52:37.18,2024-07-03,"06:52:37"
"LC_ARU1_20240703_062500.wav",1672.23,-5.03,"LC","ARU1",1,"0625",2024-07-03 06:52:52.23,2024-07-03,"06:52:52"
"LC_ARU1_20240703_062500.wav",1686.72,-4.76,"LC","ARU1",1,"0625",2024-07-03 06:53:06.72,2024-07-03,"06:53:06"
"LC_ARU1_20240703_062500.wav",1711.24,-4.72,"LC","ARU1",1,"0625",2024-07-03 06:53:31.24,2024-07-03,"06:53:31"
"LC_ARU1_20240703_062500.wav",1746.16,-4.72,"LC","ARU1",1,"0625",2024-07-03 06:54:06.16,2024-07-03,"06:54:06"
"LC_ARU1_20240703_062500.wav",1760.28,-4.92,"LC","ARU1",1,"0625",2024-07-03 06:54:20.28,2024-07-03,"06:54:20"
"LC_ARU1_20240703_062500.wav",1777,-5.17,"LC","ARU1",1,"0625",2024-07-03 06:54:37,2024-07-03,"06:54:37"
"LC_ARU1_20240703_062500.wav",1790.56,-4.8,"LC","ARU1",1,"0625",2024-07-03 06:54:50.56,2024-07-03,"06:54:50"
"LC_ARU1_20240707_062500.wav",97.18,-5.54,"LC","ARU1",1,"0625",2024-07-07 06:26:37.18,2024-07-07,"06:26:37"
"LC_ARU1_20240707_062500.wav",107.58,-5.59,"LC","ARU1",1,"0625",2024-07-07 06:26:47.58,2024-07-07,"06:26:47"
"LC_ARU1_20240707_062500.wav",118.35,-5.07,"LC","ARU1",1,"0625",2024-07-07 06:26:58.35,2024-07-07,"06:26:58"
"LC_ARU1_20240707_062500.wav",129.13,-5.58,"LC","ARU1",1,"0625",2024-07-07 06:27:09.13,2024-07-07,"06:27:09"
"LC_ARU1_20240707_062500.wav",142.32,-5.52,"LC","ARU1",1,"0625",2024-07-07 06:27:22.32,2024-07-07,"06:27:22"
"LC_ARU1_20240707_062500.wav",157.18,-5.33,"LC","ARU1",1,"0625",2024-07-07 06:27:37.18,2024-07-07,"06:27:37"
"LC_ARU1_20240707_062500.wav",171.29,-5.43,"LC","ARU1",1,"0625",2024-07-07 06:27:51.29,2024-07-07,"06:27:51"
