Date,Time,Temp_degF,Wind_mph,Sky_Condition
May_26,6:51 AM,83,16,Haze
May_30,6:51 AM,80,5,Partly Cloudy
Jun_03,6:51 AM,86,16,Mostly Cloudy
Jun_07,6:51 AM,83,5,Fair
Jun_11,6:51 AM,83,0,Fair
Jun_15,6:51 AM,84,5,Partly Cloudy
Jun_19,6:51 AM,80,16,Cloudy
Jun_23,6:51 AM,84,10,Cloudy
Jun_27,6:51 AM,84,3,Mostly Cloudy
Jul_01,6:51 AM,83,3,Light Rain
Jul_05,6:51 AM,81,6,Fair
Jul_09,6:51 AM,81,0,Mis
Jul_13,6:51 AM,83,3,Mostly Cloudy
Jul_17,6:51 AM,81,3,Cloudy
